"ntacode","mean","median","sum"
"BK09",-1.4386733807131058,-1.428987979888916,-1959.47314453125
"QN54",3.628807553358048,4.340360164642334,25205.697265625
"SI12",1.9759254092261904,3.361659288406372,24066.771484375
"SI28",5.162291225816203,5.238863945007324,25615.2890625
"BX43",-2.1642687586845764,-1.9669690132141113,-4672.65625
"BK64",0.6615972484739023,0.8039133548736572,922.9281616210938
"BX55",1.215709129539696,1.4598109722137451,2698.874267578125
"BK63",-0.1101533244637882,-0.20488643646240234,-239.69363403320312
"SI14",0.6252994873661839,1.588017463684082,3475.41455078125
"BX06",1.0472397592905405,0.8416524529457092,1937.3935546875
"BK21",1.630232299573055,1.8019821643829346,8591.32421875
"BK26",1.2354814512476624,1.4757072925567627,5285.3896484375
"BX22",-6.093847845534516,-7.158559799194336,-40871.4375
"QN19",-0.2319155114695368,-0.587956428527832,-948.766357421875
"BK34",1.3126679127350513,1.314957857131958,4851.62060546875
"BX03",0.27889476884007885,1.106382131576538,1538.383544921875
"BX31",0.08579188252156106,-0.35191094875335693,371.4788513183594
"QN17",0.6906461369655544,1.2445414066314697,5443.6728515625
"BX29",-2.053049415048927,-1.4400215148925781,-6504.060546875
"BX30",0.278645511203342,0.02287200093269348,501.5619201660156
"BK27",-0.03812369727679369,0.3318002223968506,-106.67010498046875
"BX05",0.2899751024316167,0.1205662414431572,592.9990844726562
"QN22",3.019419718471738,2.9654219150543213,15598.322265625
"QN51",2.9282972415177326,2.8332438468933105,20972.46484375
"QN02",4.022783772240846,4.197530746459961,15600.35546875
"QN76",3.498746676918265,3.9028069972991943,20974.986328125
"BX35",1.9402945135946328,1.7853533029556274,4464.61767578125
"QN28",2.715000681531221,2.446934223175049,17739.814453125
"QN63",3.7986222263193725,3.5988736152648926,14647.4873046875
"BK88",3.595765554866023,3.9011855125427246,26436.068359375
"MN19",-1.1847693144193225,-0.9758736491203308,-2806.718505859375
"QN43",2.5943310092961487,3.1656620502471924,19535.3125
"QN61",5.48751358273828,5.469521999359131,35350.5625
"MN04",-1.2254292135273581,-1.0497205257415771,-2676.33740234375
"MN50",-0.729891799566314,-0.9350026249885559,-556.1775512695312
"BK58",3.494946110857664,3.531855583190918,25855.611328125
"BK96",2.4380340062177184,2.537400484085083,10856.5654296875
"BK90",5.359669873523068,5.543312072753906,28577.759765625
"BX59",2.3284771000573397,2.053546667098999,7614.1201171875
"QN10",-0.30570980060204306,0.7867821455001831,-4144.8134765625
"BK17",0.7517970471613314,0.8163989782333374,6481.994140625
"BX26",-1.3090028563693914,-1.5553065538406372,-2946.5654296875
"SI45",2.3821853663993107,2.647463321685791,17968.82421875
"SI36",0.06019768219462407,0.8712166547775269,549.24365234375
"MN36",-1.4881954374307316,-1.067169427871704,-4699.72119140625
"MN34",0.3463098658780251,0.23452980816364288,1159.09912109375
"MN27",1.0015782915379037,1.1849969625473022,1985.128173828125
"MN21",1.6345003064845274,1.630441665649414,1676.997314453125
"MN31",-1.9501291443224378,-0.2583908438682556,-5727.529296875
"MN40",-1.9640089638308071,-1.2526718378067017,-5377.45654296875
"MN33",-0.3078582696600275,0.2494921088218689,-700.3775634765625
"BK33",1.7453094507497946,2.1943283081054688,10620.2080078125
"BK61",0.5075930196938485,0.4821943938732147,3572.947265625
"BK69",1.0809078537287566,0.9495452046394348,3021.137451171875
"QN25",4.211695780451059,4.519671440124512,11531.623046875
"BK30",1.2213073895388111,1.2788618803024292,4971.9423828125
"BK31",-0.6347691458743036,-0.1771000772714615,-5810.0419921875
"BX01",2.720775824652778,3.0654406547546387,6121.74560546875
"BX40",1.6640545880353008,1.7996752262115479,1437.7431640625
"BX09",0.17511991138584282,0.02213924750685692,1245.6279296875
"BX49",0.57220569604531,0.5877424478530884,1799.5869140625
"BK43",2.8152055584016393,2.7642788887023926,13738.203125
"BK46",2.698528581293887,2.980853319168091,6533.1376953125
"SI99",-7.708186654342354,-8.0,-24496.6171875
"MN09",-2.4188920260776645,-1.41548490524292,-6649.5341796875
"MN11",-0.6678430256294394,-0.4681306779384613,-1316.318603515625
"MN17",-0.8131524631550219,-0.9419900178909302,-3351.814453125
"MN32",0.17585826586651546,0.6557779908180237,327.09637451171875
"QN71",1.552901978568709,2.1429824829101562,3313.892822265625
"QN98",5.79280516243165,7.380884647369385,180098.3125
"BK25",3.0482500325281654,3.0908257961273193,12446.0048828125
"BK28",2.078673172777909,2.0368213653564453,13201.6533203125
"BK29",1.3960650169508937,1.4322245121002197,6794.6484375
"QN03",4.055277078919492,4.649787425994873,23926.134765625
"QN05",1.0621366116656734,3.379591941833496,8911.326171875
"SI24",-4.257816536184079,-7.003917217254639,-107139.4375
"BX62",-0.1428272779026077,0.5528216361999512,-775.6949462890625
"BX52",-0.25009817884421925,0.4193430542945862,-3014.433349609375
"QN68",3.515942329053948,3.7027041912078857,11177.1806640625
"QN56",2.4506122008954785,3.0792059898376465,8346.78515625
"QN57",-0.27986214803754267,1.260040283203125,-2459.98828125
"MN12",-2.9005381796658862,-2.4547059535980225,-13629.62890625
"MN14",-1.620271953197405,-1.2565581798553467,-3496.546875
"QN70",2.2668572985542,1.734301209449768,12170.7568359375
"QN72",1.9024204719428226,2.0543272495269775,14989.1708984375
"BX44",0.6350465742155922,1.1170570850372314,3142.21044921875
"BX17",1.9644933080238411,2.6459593772888184,5170.54638671875
"BX36",0.05001006596339809,0.3494247794151306,145.12921142578125
"QN20",0.5253512520526382,0.23509681224822998,3619.144775390625
"QN21",0.12858899143209288,0.27594876289367676,1010.70947265625
"BX14",1.0639686784195026,0.9870432615280151,2641.834228515625
"BK42",0.6785619099109605,0.44194045662879944,4181.97705078125
"QN27",4.7489080983373695,4.65297269821167,12746.0693359375
"SI01",-3.2990741102600176,-4.055488586425781,-63312.53125
"SI32",-0.8493894026120036,-0.17855027318000793,-7507.7529296875
"BK19",2.1481015055233805,2.192420244216919,5007.224609375
"BK23",1.6240357574642557,1.6260136365890503,1930.978515625
"SI25",-0.6196378831869666,0.28653207421302795,-4718.54248046875
"SI54",1.727958803203497,2.0148916244506836,21049.994140625
"MN13",1.892457045949693,2.023935556411743,9555.015625
"MN15",2.0529353289965138,2.328585624694824,5152.86767578125
"BK72",4.249215538029728,4.371415615081787,6718.009765625
"SI05",-3.6063094576229306,-4.216180801391602,-160542.078125
"SI48",-1.0576264473924144,-0.03221806138753891,-7250.029296875
"BX75",2.89679212818677,3.276444911956787,6448.25927734375
"MN24",0.685980265813032,1.5150506496429443,2337.134765625
"MN25",-5.746843792213431,-7.258252143859863,-14890.072265625
"BX08",1.6600724634936985,1.9466614723205566,3424.7294921875
"MN03",-1.0119537494149626,-0.6638710498809814,-3513.50341796875
"MN99",-4.977091699547348,-6.668305397033691,-62124.05859375
"QN45",-2.682073200553157,-1.785477876663208,-24849.408203125
"QN06",-0.36885231612598696,-0.45670250058174133,-2148.93359375
"BK32",3.767409237132353,3.9720866680145264,25618.3828125
"BK37",2.0634942569025023,1.1221330165863037,11957.94921875
"QN34",4.82377433374631,4.948001384735107,45748.67578125
"QN42",-0.8112184197044866,-0.22585047781467438,-5641.212890625
"BX37",2.369666542133273,2.5874409675598145,11744.0673828125
"BX46",1.5454619023904383,1.276398777961731,1939.5546875
"QN30",3.537024141879374,2.963552474975586,17182.86328125
"QN31",5.452448207760103,6.184754371643066,76094.3671875
"QN18",2.6943497550877433,3.041217088699341,7331.32568359375
"QN29",3.747922505605381,3.571761131286621,16715.734375
"BK38",1.3477420325379958,1.4715673923492432,5231.9345703125
"BK35",0.10902547000919761,0.12467245012521744,466.738037109375
"BK78",2.735331756463548,2.3077008724212646,14970.470703125
"BX27",4.511806744147527,4.828948974609375,30644.19140625
"BK83",-0.19190415901192173,0.10709856450557709,-723.8624877929688
"QN53",1.5202346224757475,1.916191577911377,7678.705078125
"BK60",0.761939803906976,0.9661425948143005,3279.388916015625
"BX34",2.537867958492164,2.4663569927215576,5991.90625
"BX39",3.142065438220902,2.9793667793273926,17978.8984375
"BX63",0.5714906956732589,0.46046844124794006,1509.87841796875
"SI35",-1.4841839201843623,-1.2374498844146729,-9519.5556640625
"SI07",0.8486606137796305,2.3680789470672607,7303.5732421875
"SI22",0.35963711848548874,0.22901281714439392,2744.75048828125
"BK79",1.7192182785067667,1.924239158630371,4700.3427734375
"BK85",2.5217084012424413,2.075700283050537,6672.4404296875
"BK76",3.763121607495325,3.5806398391723633,18111.904296875
"MN20",0.8399998075495831,0.7983847260475159,1662.359619140625
"MN22",1.6151523935946945,1.8532718420028687,2404.9619140625
"MN23",1.432148777324167,1.5981096029281616,4856.41650390625
"MN01",0.6176162261900174,0.6450717449188232,1502.6602783203125
"MN35",-2.9189033742331287,-2.7610363960266113,-9039.84375
"QN47",-0.8550514914772728,-1.223805546760559,-5408.20068359375
"QN49",1.9940909113506204,2.0757076740264893,18802.283203125
"QN60",-0.18111290328804103,0.4546954333782196,-504.21832275390625
"QN99",-4.740219414577287,-6.51875638961792,-199269.34375
"BX13",-0.9855054821280611,-0.7517448663711548,-5352.2802734375
"BX99",-6.96665651518165,-8.0,-210170.09375
"BK45",1.2949916663362935,2.7189035415649414,12249.326171875
"BK82",1.2555154192144873,2.0665268898010254,20019.193359375
"BK93",-2.164751408587285,-2.0088601112365723,-3400.824462890625
"BK73",2.9246183565961634,3.1054933071136475,11511.2978515625
"MN28",0.5944873062258782,0.6480787992477417,1886.9027099609375
"BK40",-1.1873469489959445,-0.8180631995201111,-2269.02001953125
"BK99",-4.955730488712898,-5.90674352645874,-146426.96875
